"Order","Price","LotFrontage","LotArea","LotConfig","HouseStyle","Quality","Condition","YearBuilt","YearRemodel","ExteriorQ","ExteriorC","Foundation","BasementHt","BasementC","BasementFin","BasementFinSF","BasementUnFinSF","BasementSF","Heating","HeatingQC","CentralAir","FirstSF","SecondSF","GroundSF","BasementFBath","BasementHBath","FullBath","HalfBath","Bedroom","KitchenQ","TotalRooms","Fireplaces","GarageType","GarageCars","GarageSF","GarageQ","GarageC","WoodDeckSF","OpenPorchSF","EnclosedPorchSF","ScreenPorchSF"
829,221.8,95,10324,"Corner","1Story",8,5,2008,2008,"Gd","TA","PConc","Gd","TA","GLQ",872,382,1254,"GasA","Ex","Y",1254,0,1254,1,0,2,0,2,"Gd",5,0,"Attchd",3,810,"TA","TA",168,92,0,0
1576,264.966,107,12852,"Corner","2Story",8,5,2007,2007,"Gd","TA","PConc","Gd","TA","GLQ",770,150,920,"GasA","Ex","Y",920,860,1780,1,0,2,1,3,"Gd",6,1,"Attchd",2,612,"TA","TA",0,192,0,0
37,376.162,102,12858,"Inside","2Story",9,5,2009,2010,"Ex","TA","PConc","Ex","TA","Unf",0,1590,1590,"GasA","Ex","Y",1627,707,2334,0,0,2,1,3,"Ex",10,1,"Attchd",3,751,"TA","TA",144,133,0,0
517,208.3,75,7862,"Inside","1Story",6,5,2009,2009,"Gd","TA","PConc","Gd","TA","GLQ",27,1191,1218,"GasA","Ex","Y",1218,0,1218,0,0,2,0,2,"Gd",4,0,"Attchd",2,676,"TA","TA",0,102,0,0
2516,221,60,7180,"Inside","1Story",8,5,2001,2002,"Gd","TA","PConc","Gd","TA","Unf",0,1568,1568,"GasA","Ex","Y",1568,0,1568,0,0,2,0,3,"Gd",6,1,"Attchd",2,564,"TA","TA",0,266,0,0
1000,286,41,4923,"Inside","1Story",8,5,2001,2002,"Gd","TA","PConc","Ex","TA","GLQ",1153,440,1593,"GasA","Ex","Y",1593,0,1593,1,0,1,1,0,"Ex",5,1,"Attchd",2,682,"TA","TA",0,120,0,224
2537,140,70,8400,"Inside","SFoyer",5,6,1968,1968,"TA","TA","CBlock","Gd","TA","GLQ",744,89,833,"GasA","Gd","Y",898,0,898,1,0,1,0,3,"TA",6,0,"Attchd",1,326,"TA","TA",143,0,0,0
2819,102,67,8877,"Inside","1Story",4,5,1951,1951,"TA","TA","CBlock","Fa","Fa","LwQ",836,0,836,"GasA","TA","Y",1220,0,1220,0,0,1,0,2,"TA",6,0,"Detchd",2,396,"TA","TA",0,0,0,0
2856,131,84,10164,"Inside","1.5Fin",5,5,1939,1950,"TA","TA","CBlock","TA","Fa","LwQ",646,346,992,"GasA","Fa","Y",992,473,1465,0,0,2,0,3,"TA",6,2,"Detchd",1,240,"TA","TA",0,126,0,0
577,241.6,110,15417,"Inside","1Story",7,5,1981,1981,"Gd","TA","CBlock","Gd","TA","LwQ",121,1619,1740,"GasA","TA","Y",1740,0,1740,0,0,1,1,2,"Gd",7,0,"Attchd",2,540,"TA","TA",228,20,218,0
2631,155,69,7590,"Inside","2Story",6,5,1966,1966,"TA","TA","CBlock","TA","TA","BLQ",512,148,660,"GasA","TA","Y",660,688,1348,0,0,1,1,3,"TA",6,1,"Attchd",2,453,"TA","TA",188,108,0,0
885,108,67,8777,"Inside","1Story",4,5,1949,2003,"TA","TA","CBlock","None","None","None",0,0,0,"GasA","Ex","Y",1126,0,1126,0,0,2,0,2,"Gd",5,0,"Detchd",2,520,"TA","TA",0,96,0,0
1181,324,32,10846,"CulDSac","1Story",8,5,1993,1993,"Gd","TA","PConc","Gd","TA","GLQ",1619,100,1719,"GasA","Ex","Y",1719,0,1719,2,0,1,1,1,"Gd",6,2,"Attchd",2,473,"TA","TA",122,30,0,0
2091,179.9,114,10357,"Corner","1Story",7,5,1990,1991,"Gd","TA","PConc","Gd","TA","GLQ",738,172,910,"GasA","Gd","Y",1442,0,1442,1,0,2,0,3,"Gd",6,1,"Attchd",2,719,"TA","TA",0,244,0,0
1562,250,44,3811,"Inside","1Story",7,5,2004,2005,"Gd","TA","PConc","Ex","TA","GLQ",1474,120,1594,"GasA","Ex","Y",1646,0,1646,1,1,2,0,2,"Ex",5,1,"Attchd",2,482,"TA","TA",128,53,0,155
835,185,0,28698,"CulDSac","2Story",5,5,1967,1967,"TA","TA","PConc","TA","Gd","LwQ",249,0,1013,"GasA","TA","Y",1160,966,2126,0,1,2,1,3,"TA",7,0,"Attchd",2,538,"TA","TA",486,0,0,225
2425,225,0,3072,"Inside","1Story",7,5,2004,2004,"Gd","TA","PConc","Gd","TA","GLQ",1059,306,1365,"GasA","Ex","Y",1548,0,1548,1,0,2,0,2,"Gd",7,1,"Attchd",2,388,"TA","TA",143,20,0,0
142,165.5,70,10552,"Inside","1Story",5,5,1959,1959,"TA","TA","CBlock","TA","TA","Rec",1018,380,1398,"GasA","Gd","Y",1700,0,1700,0,1,1,1,4,"Gd",6,1,"Attchd",2,447,"TA","TA",0,38,0,0
1133,188,68,10110,"Inside","2Story",6,5,2003,2003,"Gd","TA","PConc","Gd","TA","GLQ",80,200,835,"GasA","Ex","Y",835,861,1696,1,0,2,1,3,"Gd",7,0,"Attchd",2,542,"TA","TA",143,66,0,0
764,179,60,10800,"Inside","1Story",5,5,1987,1988,"TA","Gd","CBlock","Gd","Gd","GLQ",1200,0,1200,"GasA","TA","Y",1200,0,1200,3,0,3,0,3,"TA",5,0,"None",0,0,"None","None",120,0,0,0
866,261.5,0,11885,"Inside","2Story",8,5,2001,2001,"Gd","TA","PConc","Gd","TA","GLQ",990,309,1299,"GasA","Ex","Y",1299,573,1872,1,0,2,1,3,"Ex",7,1,"BuiltIn",2,531,"TA","TA",160,122,0,0
1025,175,0,15611,"Corner","1Story",5,6,1977,1977,"TA","TA","PConc","Gd","TA","ALQ",767,266,1126,"GasA","TA","Y",1126,0,1126,0,1,2,0,3,"Ex",6,0,"Attchd",2,540,"TA","TA",180,0,0,0
2621,135,60,10800,"Inside","1.5Fin",4,4,1949,1950,"TA","TA","CBlock","TA","TA","Unf",0,720,720,"GasA","TA","N",720,472,1192,0,0,1,1,4,"TA",6,0,"None",0,0,"None","None",0,0,0,0
2082,80,0,11515,"CulDSac","1Story",4,5,1958,1994,"TA","TA","Slab","None","None","None",0,0,0,"GasA","TA","N",943,0,943,0,0,1,0,3,"Gd",5,0,"Detchd",1,308,"TA","TA",0,0,60,0
594,130,62,7130,"Inside","1Story",5,6,1967,1967,"TA","TA","PConc","TA","TA","BLQ",648,216,864,"GasA","TA","Y",864,0,864,0,1,1,0,2,"TA",5,0,"Attchd",1,312,"TA","TA",0,0,0,0
1240,163,76,9120,"Inside","1Story",6,6,1958,1958,"TA","TA","CBlock","TA","TA","ALQ",662,599,1261,"GasA","Ex","Y",1261,0,1261,1,0,1,0,3,"TA",6,1,"Attchd",2,433,"TA","TA",0,0,0,288
2122,177.5,105,11249,"Inside","1Story",6,5,1995,1995,"Gd","Gd","PConc","Gd","Gd","ALQ",334,322,1200,"GasA","Ex","Y",1200,0,1200,1,0,2,0,3,"Gd",6,0,"Attchd",2,521,"TA","TA",0,26,0,0
2265,174,42,10331,"CulDSac","1Story",7,7,1985,1985,"TA","TA","CBlock","Gd","TA","ALQ",215,970,1265,"GasA","Gd","Y",1240,0,1240,0,1,2,0,3,"Gd",6,0,"Attchd",2,528,"TA","TA",232,0,0,0
512,245,76,9139,"Inside","1Story",8,5,2006,2006,"Gd","TA","PConc","Ex","TA","GLQ",379,1043,1422,"GasA","Ex","Y",1432,0,1432,0,0,2,0,3,"Gd",7,1,"Attchd",2,492,"TA","TA",297,50,0,0
889,159.5,75,7950,"Corner","2Story",6,6,1977,1977,"TA","TA","CBlock","TA","TA","BLQ",535,155,690,"GasA","TA","Y",698,728,1426,0,0,1,1,3,"TA",6,0,"Attchd",2,440,"TA","TA",252,0,0,0
573,156,35,3768,"FR2","2Story",7,5,1999,1999,"Gd","TA","PConc","Gd","TA","GLQ",549,142,691,"GasA","Ex","Y",713,739,1452,1,0,2,1,3,"Gd",6,0,"Detchd",2,506,"TA","TA",0,34,0,0
2782,132.5,55,10780,"Inside","SLvl",5,5,1976,1976,"TA","TA","CBlock","TA","TA","ALQ",483,428,911,"GasA","Gd","Y",954,0,954,0,0,1,0,3,"TA",6,0,"Detchd",2,576,"TA","TA",0,0,0,0
1264,157,0,10920,"Corner","1Story",6,5,1960,1960,"TA","TA","CBlock","TA","TA","BLQ",733,520,1253,"GasA","TA","Y",1253,0,1253,1,0,1,1,2,"TA",5,1,"Attchd",1,352,"TA","TA",0,213,176,0
1731,168.165,58,13204,"Inside","2Story",7,5,2006,2007,"TA","TA","PConc","Gd","TA","Unf",0,608,608,"GasA","Ex","Y",608,850,1458,0,0,2,0,3,"Gd",6,0,"BuiltIn",2,454,"TA","TA",100,33,0,0
2786,128.5,120,9560,"Corner","1Story",5,7,1972,1972,"TA","Gd","CBlock","TA","TA","Rec",360,504,864,"GasA","Ex","Y",864,0,864,0,0,1,0,3,"TA",5,0,"Attchd",1,288,"TA","TA",0,0,0,0
1165,146,34,3604,"Corner","2Story",7,5,2007,2007,"Gd","TA","PConc","Gd","TA","Unf",0,689,689,"GasA","Ex","Y",703,689,1392,0,0,2,0,2,"Gd",5,0,"Detchd",2,540,"TA","TA",0,102,0,0
2861,194,80,12400,"Inside","1.5Fin",5,6,1940,1950,"TA","TA","CBlock","Gd","TA","BLQ",602,299,901,"GasA","TA","Y",1125,592,1717,0,0,1,1,2,"TA",7,1,"Attchd",1,410,"TA","TA",0,0,0,113
1819,120.75,64,6285,"Inside","1Story",5,5,1977,1977,"TA","TA","CBlock","Gd","TA","LwQ",138,405,894,"GasA","TA","Y",894,0,894,1,0,1,0,2,"TA",5,0,"Detchd",1,308,"TA","TA",192,0,0,0
1083,191,43,3182,"Inside","1Story",7,5,2005,2006,"Gd","TA","PConc","Gd","Gd","GLQ",16,1330,1346,"GasA","Ex","Y",1504,0,1504,0,0,2,0,2,"Gd",7,1,"Attchd",2,437,"TA","TA",156,20,0,0
1442,231.5,80,12435,"Inside","2Story",7,5,2001,2001,"Gd","TA","PConc","Gd","TA","GLQ",361,602,963,"GasA","Ex","Y",963,829,1792,0,0,2,1,3,"Gd",7,1,"Attchd",2,564,"TA","TA",0,96,0,0
205,122,52,3068,"Inside","2Story",6,8,1920,1993,"TA","Gd","BrkTil","TA","TA","Unf",0,662,662,"GasA","Ex","Y",662,662,1324,0,1,1,0,3,"TA",6,0,"Detchd",1,180,"TA","TA",0,0,112,0
2407,202.665,40,6792,"Inside","1Story",7,5,2005,2006,"Gd","TA","PConc","Gd","TA","Unf",0,1368,1368,"GasA","Ex","Y",1368,0,1368,0,0,2,0,2,"Gd",6,1,"Attchd",2,474,"TA","TA",132,35,0,0
439,335,87,10367,"Inside","1Story",9,5,2008,2008,"Ex","TA","PConc","Ex","TA","GLQ",1015,724,1739,"GasA","Ex","Y",1743,0,1743,1,0,2,0,3,"Ex",8,1,"Attchd",3,927,"TA","TA",168,45,0,0
1070,336.86,58,10110,"Inside","1Story",9,5,2008,2008,"Ex","TA","PConc","Gd","TA","GLQ",372,1486,1858,"GasA","Ex","Y",1866,0,1866,1,0,2,0,2,"Ex",7,1,"Attchd",3,870,"TA","TA",0,48,0,0
2291,75.19,21,1890,"Inside","2Story",4,3,1976,1976,"TA","TA","CBlock","TA","TA","Unf",0,546,546,"GasA","Ex","Y",546,546,1092,0,0,1,1,3,"TA",6,0,"Attchd",1,286,"TA","TA",0,0,0,0
1581,184,47,12416,"Inside","1Story",6,5,1986,1986,"TA","TA","CBlock","Gd","Fa","ALQ",1398,0,1606,"GasA","TA","Y",1651,0,1651,1,0,2,0,3,"TA",7,1,"Attchd",2,616,"TA","TA",192,0,0,0
706,129.5,50,6000,"Inside","1.5Fin",5,7,1950,1970,"TA","Ex","CBlock","TA","TA","BLQ",384,384,768,"GasA","TA","Y",768,560,1328,0,0,1,1,3,"TA",6,0,"Detchd",1,308,"TA","TA",0,12,0,0
1624,178.75,63,7875,"Inside","2Story",7,5,1996,1996,"Gd","TA","PConc","Gd","TA","Rec",414,277,691,"GasA","Gd","Y",691,862,1553,0,0,2,1,3,"Gd",6,0,"Attchd",2,420,"TA","TA",0,44,0,0
2519,214,0,3760,"CulDSac","1Story",8,5,1980,1980,"Gd","TA","CBlock","Gd","TA","GLQ",1009,44,1235,"GasA","Gd","Y",1235,0,1235,1,0,1,0,1,"TA",4,3,"Attchd",2,484,"TA","TA",133,78,0,0
51,175.5,36,2628,"Inside","2Story",7,5,2003,2003,"Gd","TA","PConc","Gd","TA","Unf",0,764,764,"GasA","Ex","Y",764,862,1626,0,0,2,1,2,"Gd",6,0,"BuiltIn",2,474,"TA","TA",0,27,0,0
1651,195,0,12046,"Inside","2Story",6,6,1976,1976,"TA","TA","CBlock","TA","TA","LwQ",156,692,848,"GasA","TA","Y",1118,912,2030,0,0,2,1,4,"Gd",8,1,"Attchd",2,551,"TA","TA",0,224,0,0
923,155,80,14680,"Inside","1Story",5,4,1960,1960,"TA","TA","CBlock","TA","TA","Rec",793,480,1273,"GasA","Ex","Y",1273,0,1273,0,0,1,0,2,"TA",5,0,"Attchd",1,307,"TA","TA",483,0,0,115
2085,130,39,3869,"Inside","1Story",5,6,1984,1984,"Gd","Ex","CBlock","TA","TA","LwQ",283,0,1038,"GasA","Gd","Y",1038,0,1038,0,0,2,0,2,"TA",5,0,"Attchd",1,264,"TA","TA",0,105,0,0
1879,119,0,10624,"Inside","1Story",5,4,1964,1964,"TA","TA","CBlock","TA","TA","GLQ",40,1424,1728,"GasA","TA","Y",1728,0,1728,0,1,2,0,6,"TA",10,0,"Detchd",1,352,"TA","TA",155,0,0,0
1886,124,74,7450,"Inside","1Story",5,5,1956,1956,"TA","TA","CBlock","TA","TA","Rec",438,250,894,"GasA","Gd","Y",1074,0,1074,0,0,1,0,2,"Gd",6,1,"Detchd",2,396,"TA","TA",0,72,0,0
153,109,68,7922,"Inside","1Story",5,7,1953,2007,"TA","Gd","CBlock","TA","TA","GLQ",731,326,1057,"GasA","TA","Y",1057,0,1057,1,0,1,0,3,"Gd",5,0,"Detchd",1,246,"TA","TA",0,52,0,0
2342,470,90,18261,"Inside","1Story",9,5,2005,2005,"Ex","TA","PConc","Ex","TA","GLQ",1416,494,1910,"GasA","Ex","Y",2000,0,2000,1,0,2,1,3,"Ex",8,2,"Attchd",3,722,"TA","TA",351,102,0,123
1901,138.5,85,12172,"Inside","1.5Unf",5,7,1940,1996,"TA","TA","PConc","TA","TA","LwQ",130,433,822,"GasA","TA","Y",908,0,908,0,0,1,0,2,"TA",4,0,"Attchd",2,512,"TA","TA",284,24,0,192
1958,119.2,60,11664,"Inside","1Story",6,5,1948,1950,"TA","TA","CBlock","TA","Fa","BLQ",336,746,1082,"GasA","TA","Y",1082,0,1082,0,0,1,0,2,"TA",5,1,"Detchd",1,240,"TA","TA",0,130,0,0
867,313,0,11050,"Inside","2Story",9,5,2000,2000,"Gd","TA","PConc","Ex","TA","GLQ",904,536,1440,"GasA","Ex","Y",1476,677,2153,1,0,2,1,3,"Ex",8,2,"Attchd",3,736,"TA","TA",253,142,0,0
1439,188,57,8924,"CulDSac","2Story",7,5,1998,1999,"TA","TA","PConc","Gd","TA","Unf",0,880,880,"GasA","Ex","Y",880,844,1724,0,0,2,1,3,"Gd",8,0,"Attchd",2,527,"TA","TA",120,155,0,0
1755,219.5,0,8740,"Inside","2Story",7,5,2002,2002,"Gd","TA","PConc","Gd","TA","GLQ",574,280,854,"GasA","Ex","Y",864,1131,1995,0,0,2,1,4,"Gd",8,1,"BuiltIn",2,435,"TA","TA",264,48,0,0
178,130,50,5500,"Corner","1.5Fin",5,7,1929,2001,"TA","TA","BrkTil","TA","TA","LwQ",234,0,926,"GasA","TA","Y",926,0,1316,1,0,1,0,3,"TA",6,0,"Detchd",2,484,"TA","TA",0,0,0,0
2539,158,80,9600,"Inside","SLvl",5,7,1967,1967,"TA","TA","PConc","TA","TA","ALQ",602,137,1141,"GasA","Gd","Y",1141,0,1141,1,0,1,0,3,"TA",6,0,"Attchd",1,568,"TA","TA",0,78,0,0
1707,372,94,13615,"Corner","1Story",9,5,2006,2006,"Ex","TA","PConc","Ex","TA","Unf",0,1802,1802,"GasA","Ex","Y",1802,0,1802,0,0,2,1,3,"Ex",7,1,"Attchd",3,843,"TA","TA",158,105,0,0
250,245.35,64,10475,"Corner","1Story",8,5,2008,2008,"Gd","TA","PConc","Gd","TA","Unf",0,1694,1694,"GasA","Ex","Y",1694,0,1694,0,0,2,0,3,"Gd",7,0,"Attchd",3,776,"TA","TA",160,33,0,0
1961,102,60,7200,"Inside","1Story",5,3,1950,1950,"TA","TA","CBlock","TA","TA","LwQ",432,432,864,"GasA","Fa","Y",1238,0,1238,0,0,1,1,3,"TA",6,1,"Attchd",1,357,"TA","TA",0,171,0,0
1178,345,36,3951,"Inside","2Story",10,5,1998,1999,"Ex","TA","PConc","Gd","TA","BLQ",128,0,970,"GasA","Ex","Y",1469,924,2393,1,0,2,1,2,"Ex",7,1,"Attchd",2,846,"TA","TA",0,90,0,94
2021,102,60,6180,"Corner","1Story",6,5,1926,1950,"TA","TA","BrkTil","TA","TA","Unf",0,960,960,"GasA","TA","N",986,0,986,0,0,1,0,2,"TA",5,1,"Detchd",1,180,"TA","TA",0,128,0,0
2176,148,0,7917,"Corner","1Story",6,7,1976,1976,"TA","Gd","CBlock","TA","Gd","BLQ",751,392,1143,"GasA","TA","Y",1113,0,1113,1,0,1,1,3,"TA",6,1,"Attchd",1,504,"TA","Gd",370,30,0,0
1792,250,70,9605,"Inside","2Story",7,5,2006,2006,"Gd","TA","PConc","Gd","TA","Unf",0,982,982,"GasA","Ex","Y",982,995,1977,0,0,2,1,3,"Gd",7,0,"Attchd",3,574,"TA","TA",240,53,0,0
79,125,50,7175,"Inside","1Story",6,5,1984,1984,"TA","TA","CBlock","Gd","TA","ALQ",623,0,744,"GasA","TA","Y",752,0,752,1,0,1,0,2,"TA",4,0,"Attchd",1,264,"TA","TA",353,0,0,90
2438,215,0,8658,"Inside","2Story",6,5,2000,2000,"TA","TA","PConc","Gd","TA","ALQ",732,250,982,"GasA","Ex","Y",1008,881,1889,0,0,2,1,3,"TA",9,1,"Attchd",2,431,"TA","TA",0,0,0,0
106,254,68,7379,"Inside","2Story",8,5,2000,2000,"Gd","TA","PConc","Gd","TA","GLQ",484,491,975,"GasA","Ex","Y",975,873,1848,1,0,2,1,3,"Gd",7,1,"Attchd",2,592,"TA","TA",280,184,0,0
1195,135,65,8125,"Inside","1Story",5,7,1965,2005,"Gd","TA","CBlock","TA","TA","ALQ",260,196,912,"GasA","Ex","Y",925,0,925,1,0,1,0,3,"TA",5,0,"Detchd",2,576,"TA","TA",233,0,0,0
1484,149,0,4438,"Inside","1Story",6,5,2004,2004,"Gd","TA","PConc","Gd","TA","GLQ",662,186,848,"GasA","Ex","Y",848,0,848,1,0,1,0,1,"Gd",3,1,"Attchd",2,420,"TA","TA",149,0,0,0
880,293.2,85,10200,"Inside","1Story",8,5,2007,2007,"Gd","TA","PConc","Gd","TA","GLQ",1478,100,1578,"GasA","Ex","Y",1602,0,1602,1,0,2,0,3,"Gd",7,1,"Attchd",3,810,"TA","TA",0,48,0,195
459,320,44,7390,"Inside","1Story",9,5,2008,2009,"Ex","TA","PConc","Ex","TA","GLQ",800,1084,1884,"GasA","Ex","Y",1884,0,1884,1,0,2,0,2,"Ex",6,1,"Attchd",2,649,"TA","TA",231,90,0,0
2213,153.5,126,13108,"Inside","1Story",5,5,1951,1951,"TA","TA","CBlock","None","None","None",0,0,0,"GasA","Fa","Y",1226,0,1226,0,0,1,1,2,"TA",7,1,"Attchd",2,400,"TA","TA",174,24,120,228
2713,158,0,11553,"Inside","1Story",5,5,1968,1968,"TA","TA","CBlock","TA","TA","BLQ",673,378,1051,"GasA","TA","Y",1159,0,1159,0,0,1,1,3,"TA",7,1,"Attchd",1,336,"TA","TA",466,0,0,0
109,130.5,0,13517,"CulDSac","2Story",6,8,1976,2005,"Gd","TA","CBlock","TA","TA","GLQ",533,192,725,"GasA","Ex","Y",725,754,1479,0,0,2,1,3,"Gd",6,0,"Attchd",2,475,"TA","TA",0,44,0,0
2751,229.8,133,11003,"Inside","2Story",7,5,2005,2006,"Gd","TA","PConc","Gd","TA","Unf",0,1308,1308,"GasA","Ex","Y",1308,568,1876,0,0,2,1,3,"Gd",7,0,"BuiltIn",3,848,"TA","TA",0,40,0,0
1385,152,0,7400,"CulDSac","SFoyer",5,5,1984,1984,"TA","TA","PConc","Gd","TA","LwQ",104,0,1060,"GasA","TA","Y",1126,0,1126,1,0,1,0,2,"TA",5,0,"Attchd",2,506,"TA","TA",178,0,0,0
2771,187,65,12438,"Inside","2Story",6,5,1995,1995,"Gd","TA","PConc","Gd","TA","Unf",0,781,781,"GasA","Ex","Y",795,704,1499,0,0,2,1,3,"Gd",6,1,"Attchd",2,473,"TA","TA",413,91,0,0
2410,171.75,0,3136,"Corner","1Story",7,5,2003,2003,"Gd","TA","PConc","Gd","TA","Unf",0,1405,1405,"GasA","Ex","Y",1405,0,1405,0,0,2,0,2,"Gd",6,1,"Attchd",2,478,"TA","TA",148,36,0,0
792,154.4,50,9350,"Inside","2Story",6,7,1946,1950,"TA","TA","CBlock","TA","TA","BLQ",342,405,747,"GasA","Ex","Y",892,747,1639,0,0,1,1,3,"Gd",6,1,"Detchd",1,240,"TA","TA",0,50,0,0
603,140,0,9450,"Corner","1Story",4,5,1957,1957,"TA","TA","CBlock","TA","TA","BLQ",775,265,1040,"GasA","TA","Y",1362,0,1362,1,0,1,0,3,"TA",6,1,"Attchd",3,768,"TA","TA",0,0,84,0
1641,392,60,8089,"Inside","1Story",8,6,2007,2007,"Gd","TA","PConc","Gd","TA","GLQ",945,474,1419,"GasA","Ex","Y",1419,0,1419,1,0,2,0,2,"Gd",7,1,"Attchd",2,567,"TA","TA",140,0,0,0
